service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
5545,1,1,1,1,1,1,1,20190501,20200501
5146,1,1,1,1,1,1,1,20180412,20200501
5528,1,1,1,1,1,0,0,20190401,20200501
5529,0,0,0,0,0,1,1,20190401,20200501
3983,1,1,1,1,1,0,0,20190401,20200501
4199,0,0,0,0,0,1,1,20190401,20200501
5491,1,1,1,1,1,0,0,20190204,20200501
5297,0,0,0,0,0,1,1,20181006,20200501
5292,1,1,1,1,1,0,0,20181106,20200501
5298,0,0,0,0,0,1,1,20181027,20200501
5197,1,1,1,1,1,1,1,20190401,20200501
5530,1,1,1,1,1,0,0,20190401,20200501
5531,0,0,0,0,0,1,1,20190401,20200501
5233,1,1,1,1,1,1,1,20190401,20200501
5170,1,1,1,1,1,0,0,20190401,20200501
5172,0,0,0,0,0,1,1,20190401,20200501
5532,1,1,1,1,1,0,0,20190401,20200501
5533,0,0,0,0,0,1,1,20190401,20200501
5534,1,1,1,1,1,1,1,20190401,20200501
5556,1,1,1,1,1,1,1,20190501,20200501
5213,1,1,1,1,1,1,1,20190401,20200501
4945,1,1,1,1,1,0,0,20190401,20200501
4946,0,0,0,0,0,1,1,20190401,20200501
4635,1,1,1,1,1,1,1,20190401,20200501
5547,1,1,1,1,1,1,1,20190501,20200501
5209,1,1,1,1,1,1,1,20180601,20200501
3683,1,1,1,1,1,1,1,20190401,20200501
5535,1,1,1,1,1,0,0,20190401,20200501
4704,0,0,0,0,0,1,1,20190401,20200501
5207,1,1,1,1,1,1,1,20180531,20200501
5536,1,1,1,1,1,1,1,20190413,20200501
4910,0,0,0,0,0,1,1,20171101,20200501
5544,1,1,1,1,1,1,1,20190501,20200501
5537,1,1,1,1,1,1,1,20190501,20200501
5557,1,1,1,1,1,0,0,20190501,20200501
5558,0,0,0,0,0,1,1,20190501,20200501
5538,1,1,1,1,1,1,1,20190501,20200501
5567,1,1,1,1,1,1,1,20190508,20200501
5539,1,1,1,1,1,1,1,20190501,20200501
5553,1,1,1,1,1,1,1,20190501,20200501
5550,1,1,1,1,1,1,1,20190501,20200501
5559,1,1,1,1,1,0,0,20190501,20200501
5560,0,0,0,0,0,1,1,20190501,20200501
5540,1,1,1,1,1,1,1,20190501,20200501
5542,1,1,1,1,1,0,0,20190501,20200501
5543,0,0,0,0,0,1,1,20190501,20200501
