service_id,date,exception_type
5528,20200101,2
5528,20200216,2
5528,20200311,2
5528,20190624,2
5528,20190706,2
5528,20190815,2
5528,20191101,2
5528,20191223,2
5528,20191224,2
5528,20191225,2
5528,20191226,2
5528,20191231,2
5529,20200101,1
5529,20200216,1
5529,20200311,1
5529,20190624,1
5529,20190706,1
5529,20190815,1
5529,20191101,1
5529,20191223,1
5529,20191224,1
5529,20191225,1
5529,20191226,1
5529,20191231,1
3983,20200101,2
3983,20200216,2
3983,20200311,2
3983,20190624,2
3983,20190706,2
3983,20190815,2
3983,20191101,2
3983,20191223,2
3983,20191224,2
3983,20191225,2
3983,20191226,2
3983,20191231,2
4199,20200101,1
4199,20200216,1
4199,20200311,1
4199,20190624,1
4199,20190706,1
4199,20190815,1
4199,20191101,1
4199,20191223,1
4199,20191224,1
4199,20191225,1
4199,20191226,1
4199,20191231,1
5491,20200101,2
5491,20200216,2
5491,20200311,2
5491,20190624,2
5491,20190706,2
5491,20190815,2
5491,20191101,2
5491,20191223,2
5491,20191224,2
5491,20191225,2
5491,20191226,2
5491,20191231,2
5297,20200101,1
5297,20200216,1
5297,20200311,1
5297,20190624,1
5297,20190706,1
5297,20190815,1
5297,20191101,1
5297,20191223,1
5297,20191224,1
5297,20191225,1
5297,20191226,1
5297,20191231,1
5292,20200101,2
5292,20200216,2
5292,20200311,2
5292,20190624,2
5292,20190706,2
5292,20190815,2
5292,20191101,2
5292,20191223,2
5292,20191224,2
5292,20191225,2
5292,20191226,2
5292,20191231,2
5298,20200101,1
5298,20200216,1
5298,20200311,1
5298,20190624,1
5298,20190706,1
5298,20190815,1
5298,20191101,1
5298,20191223,1
5298,20191224,1
5298,20191225,1
5298,20191226,1
5298,20191231,1
5530,20200101,2
5530,20200216,2
5530,20200311,2
5530,20190624,2
5530,20190706,2
5530,20190815,2
5530,20191101,2
5530,20191223,2
5530,20191224,2
5530,20191225,2
5530,20191226,2
5530,20191231,2
5531,20200101,1
5531,20200216,1
5531,20200311,1
5531,20190624,1
5531,20190706,1
5531,20190815,1
5531,20191101,1
5531,20191223,1
5531,20191224,1
5531,20191225,1
5531,20191226,1
5531,20191231,1
5170,20200101,2
5170,20200216,2
5170,20200311,2
5170,20190624,2
5170,20190706,2
5170,20190815,2
5170,20191101,2
5170,20191223,2
5170,20191224,2
5170,20191225,2
5170,20191226,2
5170,20191231,2
5172,20200101,1
5172,20200216,1
5172,20200311,1
5172,20190624,1
5172,20190706,1
5172,20190815,1
5172,20191101,1
5172,20191223,1
5172,20191224,1
5172,20191225,1
5172,20191226,1
5172,20191231,1
5532,20200101,2
5532,20200216,2
5532,20200311,2
5532,20190624,2
5532,20190706,2
5532,20190815,2
5532,20191101,2
5532,20191223,2
5532,20191224,2
5532,20191225,2
5532,20191226,2
5532,20191231,2
5533,20200101,1
5533,20200216,1
5533,20200311,1
5533,20190624,1
5533,20190706,1
5533,20190815,1
5533,20191101,1
5533,20191223,1
5533,20191224,1
5533,20191225,1
5533,20191226,1
5533,20191231,1
4945,20200101,2
4945,20200216,2
4945,20200311,2
4945,20190624,2
4945,20190706,2
4945,20190815,2
4945,20191101,2
4945,20191223,2
4945,20191224,2
4945,20191225,2
4945,20191226,2
4945,20191231,2
4946,20200101,1
4946,20200216,1
4946,20200311,1
4946,20190624,1
4946,20190706,1
4946,20190815,1
4946,20191101,1
4946,20191223,1
4946,20191224,1
4946,20191225,1
4946,20191226,1
4946,20191231,1
5535,20200101,2
5535,20200216,2
5535,20200311,2
5535,20190624,2
5535,20190706,2
5535,20190815,2
5535,20191101,2
5535,20191223,2
5535,20191224,2
5535,20191225,2
5535,20191226,2
5535,20191231,2
4704,20200101,1
4704,20200216,1
4704,20200311,1
4704,20190624,1
4704,20190706,1
4704,20190815,1
4704,20191101,1
4704,20191223,1
4704,20191224,1
4704,20191225,1
4704,20191226,1
4704,20191231,1
4910,20200101,1
4910,20200216,1
4910,20200311,1
4910,20190624,1
4910,20190706,1
4910,20190815,1
4910,20191101,1
4910,20191223,1
4910,20191224,1
4910,20191225,1
4910,20191226,1
4910,20191231,1
5557,20200101,2
5557,20200216,2
5557,20200311,2
5557,20190624,2
5557,20190706,2
5557,20190815,2
5557,20191101,2
5557,20191223,2
5557,20191224,2
5557,20191225,2
5557,20191226,2
5557,20191231,2
5558,20200101,1
5558,20200216,1
5558,20200311,1
5558,20190624,1
5558,20190706,1
5558,20190815,1
5558,20191101,1
5558,20191223,1
5558,20191224,1
5558,20191225,1
5558,20191226,1
5558,20191231,1
5559,20200101,2
5559,20200216,2
5559,20200311,2
5559,20190624,2
5559,20190706,2
5559,20190815,2
5559,20191101,2
5559,20191223,2
5559,20191224,2
5559,20191225,2
5559,20191226,2
5559,20191231,2
5560,20200101,1
5560,20200216,1
5560,20200311,1
5560,20190624,1
5560,20190706,1
5560,20190815,1
5560,20191101,1
5560,20191223,1
5560,20191224,1
5560,20191225,1
5560,20191226,1
5560,20191231,1
5542,20200101,2
5542,20200216,2
5542,20200311,2
5542,20190624,2
5542,20190706,2
5542,20190815,2
5542,20191101,2
5542,20191223,2
5542,20191224,2
5542,20191225,2
5542,20191226,2
5542,20191231,2
5543,20200101,1
5543,20200216,1
5543,20200311,1
5543,20190624,1
5543,20190706,1
5543,20190815,1
5543,20191101,1
5543,20191223,1
5543,20191224,1
5543,20191225,1
5543,20191226,1
5543,20191231,1
4620,20200101,2
4620,20200216,2
4620,20200311,2
4620,20190624,2
4620,20190706,2
4620,20190815,2
4620,20191101,2
4620,20191223,2
4620,20191224,2
4620,20191225,2
4620,20191226,2
4620,20191231,2
4621,20200101,2
4621,20200216,2
4621,20200311,2
4621,20190624,2
4621,20190706,2
4621,20190815,2
4621,20191101,2
4621,20191223,2
4621,20191224,2
4621,20191225,2
4621,20191226,2
4621,20191231,2
4622,20200101,1
4622,20200216,1
4622,20200311,1
4622,20190624,1
4622,20190706,1
4622,20190815,1
4622,20191101,1
4622,20191223,1
4622,20191224,1
4622,20191225,1
4622,20191226,1
4622,20191231,1
4572,20200101,1
4572,20200216,1
4572,20200311,1
4572,20190624,1
4572,20190706,1
4572,20190815,1
4572,20191101,1
4572,20191223,1
4572,20191224,1
4572,20191225,1
4572,20191226,1
4572,20191231,1
5183,20200101,2
5183,20200216,2
5183,20200311,2
5183,20190624,2
5183,20190706,2
5183,20190815,2
5183,20191101,2
5183,20191223,2
5183,20191224,2
5183,20191225,2
5183,20191226,2
5183,20191231,2
5521,20200101,1
5521,20200216,1
5521,20200311,1
5521,20190624,1
5521,20190706,1
5521,20190815,1
5521,20191101,1
5521,20191223,1
5521,20191224,1
5521,20191225,1
5521,20191226,1
5521,20191231,1
4588,20200101,1
4588,20200216,1
4588,20200311,1
4588,20190624,1
4588,20190706,1
4588,20190815,1
4588,20191101,1
4588,20191223,1
4588,20191224,1
4588,20191225,1
4588,20191226,1
4588,20191231,1
5522,20200101,2
5522,20200216,2
5522,20200311,2
5522,20190624,2
5522,20190706,2
5522,20190815,2
5522,20191101,2
5522,20191223,2
5522,20191224,2
5522,20191225,2
5522,20191226,2
5522,20191231,2
5526,20200101,1
5526,20200216,1
5526,20200311,1
5526,20190624,1
5526,20190706,1
5526,20190815,1
5526,20191101,1
5526,20191223,1
5526,20191224,1
5526,20191225,1
5526,20191226,1
5526,20191231,1
5523,20200101,2
5523,20200216,2
