stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
4237,,"База отдыха",,55.04406,61.48353,,,
4193,,"База отдыха ""Автобусник""",,55.43902,61.12222,,,
4194,,"База отдыха ""Автобусник""",,55.43924,61.12273,,,
4196,,"База отдыха ""Энергосети""",,55.43880,61.12509,,,
4092,,"Гаражи",,55.04900,61.53513,,,
4093,,"Гаражи",,55.04918,61.53554,,,
4879,,"ДК им.Маяковского",,55.05460,61.52974,,,
4882,,"ДК им.Маяковского",,55.05461,61.53030,,,
767,,"Дубровка",,54.94580,61.36037,,,
774,,"Дубровка",,54.94487,61.35916,,,
4504,,"Кайгородово",,55.13241,61.06704,,,
4505,,"Кайгородово",,55.13228,61.06686,,,
4168,,"Касарги",,55.36804,61.18822,,,
4169,,"Касарги",,55.36741,61.18856,,,
4166,,"Ключевка",,55.35409,61.29607,,,
4167,,"Ключевка",,55.35363,61.29568,,,
7989,,"Лесная поляна -2",,55.24829,61.58756,,,
7990,,"Лесная поляна -2",,55.24787,61.58710,,,
4084,,"Магазин",,55.05781,61.51704,,,
4085,,"Магазин",,55.05818,61.51691,,,
8300,,"мост Коксохим",,55.24627,61.44419,,,
4502,,"Остановка 1",,55.12741,61.03403,,,
4503,,"Остановка 1",,55.12742,61.03491,,,
4500,,"Остановка 2",,55.12649,61.03004,,,
4501,,"Остановка 2",,55.12648,61.03086,,,
4498,,"Остановка 3",,55.12469,61.02249,,,
4499,,"Остановка 3",,55.12469,61.02334,,,
4496,,"Остановка 4",,55.12303,61.01566,,,
4497,,"Остановка 4",,55.12303,61.01668,,,
4088,,"п.Старокамышинск",,55.05591,61.52708,,,
4089,,"п.Старокамышинск",,55.05644,61.52631,,,
4238,,"п/лагерь",,55.03773,61.48341,,,
4239,,"п/лагерь",,55.03763,61.48306,,,
4760,,"Преображенское кладбище",,55.20525,61.21820,,,
4242,,"Профилакторий",,55.03389,61.48870,,,
4243,,"Профилакторий",,55.03403,61.48864,,,
5577,,"с. Долгодеревенское",,55.34106,61.33893,,,
6735,,"с. Долгодеревенское",,55.34115,61.33952,,,
4240,,"Сад ""Берёзка-4""",,55.03567,61.48335,,,
4241,,"Сад ""Берёзка-4""",,55.03594,61.48340,,,
4104,,"Сад ""Вишневый""",,55.13898,61.24728,,,
4105,,"Сад ""Вишневый""",,55.13873,61.24834,,,
4111,,"Сад ""Заречный-1""",,55.13241,61.28657,,,
4114,,"Сад ""Заречный-1""",,55.13239,61.28688,,,
4112,,"Сад ""Заречный-2""",,55.12810,61.28866,,,
4115,,"Сад ""Заречный-2""",,55.12819,61.28894,,,
4116,,"Сад ""Заречный-3""",,55.12410,61.28865,,,
4117,,"Сад ""Заречный-3""",,55.12394,61.28878,,,
5583,,"Сад ""Искра""",,55.21669,61.33701,,,
4318,,"Сад ""Кировский -2""",,55.21103,60.91936,,,
4315,,"Сад ""Кировский-1""",,55.22734,60.95576,,,
4548,,"Сад ""Кузнец-3""",,54.81740,61.30972,,,
4251,,"Сад ""Курочкино -2""-2",,55.02818,61.49898,,,
4252,,"Сад ""Курочкино -2""-2",,55.02834,61.49901,,,
4235,,"Сад ""Курочкино-1""",,55.03214,61.52017,,,
4236,,"Сад ""Курочкино-1""",,55.03179,61.52027,,,
4246,,"Сад ""Курочкино-1""",,55.03092,61.51399,,,
4249,,"Сад ""Курочкино-2""-1",,55.02936,61.50953,,,
4250,,"Сад ""Курочкино-2""-1",,55.02922,61.50945,,,
4495,,"Сад ""Курчатовец""",,55.12003,61.00459,,,
4276,,"Сад ""Лесная поляна-1""",,55.24337,61.58490,,,
4277,,"Сад ""Лесная поляна-1""",,55.24357,61.58532,,,
4278,,"Сад ""Лесная поляна-3""",,55.25503,61.59111,,,
4279,,"Сад ""Лесная поляна-3""",,55.25498,61.59081,,,
4102,,"Сад ""Мичуринец""",,55.14107,61.25963,,,
4103,,"Сад ""Мичуринец""",,55.14058,61.25921,,,
4265,,"Сад ""Мысы""",,55.14639,61.17843,,,
4267,,"Сад ""Мысы""",,55.14573,61.17869,,,
4455,,"Сад ""Тимер""",,55.42216,61.25148,,,
4143,,"сад ""Узункуль""",,55.43659,61.30152,,,
4306,,"Сад ""Урал""",,55.20397,61.11969,,,
4309,,"Сад ""Урал""",,55.20377,61.11933,,,
4261,,"Сад ""Чайка-1""",,55.19335,61.13097,,,
4262,,"Сад ""Чайка-1""",,55.19345,61.13130,,,
4263,,"Сад ""Чайка-2""",,55.18423,61.12639,,,
4264,,"Сад ""Чайка-2""",,55.18534,61.12685,,,
4268,,"Сад ""Электорометаллург""",,55.14987,61.17091,,,
